nmId,productValuation,color,text,answer
0,1,," 5 попыток было испечь хлеб с этой муки, и один результат  - ""пирог из глины"". ",
0,1,,"1 звезда за то что нет даты изготовления и пить прийдеться на свой страх и риск, печально конечно 🤔😓","Срок годности может стоять вне окошка. Проверьте по площади всей банки. Также гарантируем, что протеин свежий, так как он пользуется высоким спросом, поэтому мы осуществляем регулярные поставки свежего продукта."
0,1,,"2 недели уже стоит, так ничего и не взошло",Добрый день! Некоторым растениям иногда требуется больше времени на всхожесть. Рекомендуем продолжить уход за растением и подождать еще. Многое зависит и от условий выращивания и полива.
0,1,,"25.07.21 получил данный товар. Упаковка была надорвана.. Количество заявленных мешков сопадало с указанным на кробке.
По приезду домой обнаружилось, что товар не соответствует заказу и не подходит к указанному мною пылесосу. Сама форма мешка и главное картридж для установки не соответствует заказанному товару.  Фотографии имеются, но вставить не удается. Оценка плохо.",
0,1,,2x  увелечение.,
0,1,,"4 раза покупала пасту этой фирмы на подарки, из-за отзывов. только один раз пришла упакована нормально, в спаяный пакет. Причем самая дешевая из них! 1 раз вскрытая и надъеденая, 1раз протекшая, 1раз со следами от грязных пальцев. Одно разочарование! Не понимаю прикола, покупаешь шампунь за 200 р попакуют в сто пакетов и коробку, покупаешь пасту за 850р приходит банка как есть. Все помацали кто мог, кушайте на здоровье!","Видимо потому, что с ростом заказов в онлайне в 2020м году маркетплейс не справился, и на продуктах питания по какой-то причине это очень распространенный отзыв. Сколько было съедено наших паст логистами и курьерами маркетплейса - нам до сих пор не понятно."
0,1,,"""Гипоалергенный""??? На каком же основании производитель это пишет?! Во-первых, от приторного, химически-сладкого запаха сразу началось раздражение слизистой носа и глаз! Во-вторых, при мытье начало печь голову и появился зуд! У меня при осветлении и окрашивании волос никогда такого небыло, а тут из-за шампуня! С аналогичной бальзамом-маской, кстати, та же история.
Производители, зачем вводите людей в заблуждение?! Ведь у человека-аллергика может случиться приступ во время или после использования вашей ""химии""! И где потом виноватых искать?! Засудить таких производителей надо! Называйте вещи своими именами!
Еще и почти 800 р.просто выкинула в помойку, поверив вам!",
0,1,,"А где сыворотка? Будет ли в них вообще толк, для красоты их использовать? Сухие ","Добрый день. Сожалеем, что службы площадки доставили товар в таком виде. Поставщик всегда проверяет продукцию и не отгружает изначальный брак. Еще раз приносим извинения за ситуацию."
0,1,,А мне вообще вместо мешков для пылесоса прислали овощерезку. Жду возврат... ,"Да, овощерезкой дом не пропылесосить.... Видимо сотрудники склада Wildberries что-то напутали. Нам очень жаль, что из-за этого Вы снижаете рейтинг нашего товара. Если несложно измените оценку, ведь она не отражает качество данных пылесборников. Спасибо!"
0,1,,"Абсолютно бесполезная штука,не очищает,не пенится, ни капли не отбеливает,ощущения чистоты даже нет","Здравствуйте, сожалеем, что товар вам не подошел и вы остались не довольны."
0,1,,Аллергия от них жуткая!,
0,1,,"Аромата розы нет вообще, зато есть ощущение, что ешь вприкуску с духами какими-то.",Очень сожалеем что Вам не понравился наш продукт(((
0,1,,Аромата розы почти не ощущается( ,Очень сожалеем что Вам не понравился наш продукт(((
0,1,,База не просыхает,Добрый день. Благодарим Вас за обратную связь. Наши камуфлирующие базы хорошо ложатся и сохнут. Мы рекомендуем сушить их в исправной лед лампе мощностью от 36 ватт от 60 секунд каждый слой.
0,1,,"База неплохая, но снимаю звёзды за аллергическую реакцию. Впервые в жизни возникла такая ужасная реакция, и только с этой базой. Под ногтями образовались волдыря, все зудело и болело. Обидно. Всем, кто склонен к аллергии - осторожно.",
0,1,,"База ужасна, не самовыравнивается,  проплешины, растекается, не советую!!!","Добрый день. Благодарим Вас за обратную связь. Нам жаль, что камуфлирующая база Вам не понравилась. При необходимости Вы можете доработать покрытие тонкой кистью. Чтобы база не растекалась, рекомендуем Вам брать каплю поменьше."
0,1,,Бальзам Звездочка *️⃣ неприятный запах,
0,1,,"Банка приехала с неплотно закрытой крышкой, часть урбеча вытекла. Всю банку придется выкинуть. Заказывала в другом месте, банка была плотно закрыта. Обидно. Больше не буду заказывать здесь продукты.",Добрый день. Благоарим Вас за выбор нашей продукции и сигнал - это для нас важно. Будем искать решение совместно с сервисом WB
0,1,,"Банка приехала с порваной фольгой, вся в потёках. От товара отказалась.","Добрый день. По поводу качества доставки обращайтесь в службу доставки, снижая звезду производителю проблему не решает. "
0,1,,"Банка пришла вся разбитая!!! Уважаемый  Вайлдберриз, неужели сложно упаковать баночку в коробку, а не тупо ее класть в пакетик?! Даже не стала забирать, упаковано в мягкий пакет и внутри все было разбито!!!!","Оксана, добрый день! Очень жаль, что вы получили свой заказ в таком виде. Мы очень хотим, чтобы заказы радовали наших покупателей. Пожалуйста, напишите на нашу почту или позвоните по телефону горячей линии, мы вышлем вам целую баночку этого десерта бесплатно! Надеемся, нам удастся сгладить неприятное впечатление от случившегося!)"
0,1,,"Банка пришла разбитая на мелкие осколочки, я вся порезалась!!! Я настолько опешила, что даже не сфотографировала это все, побежала обрабатывать руки!! Ужас!!!","Наталья, добрый день! Нам искренне жаль из-за произошедшего недоразумения. Мы передадим замечание в отдел доставки. В качестве компенсации мы хотели бы отправить вам целую баночку этого десерта. Пожалуйста, напишите на нашу эл.почту (адрес вы можете найти на официальном сайте нашего интернет-магазина в разделе ""Контакты""). Надеемся, что нам удастся сгладить неприятное впечатление, а дальнейшие заказы нашей продукции будут вас только радовать. "
0,1,,Банка пришла разбитая.,
