nmId,productValuation,color,text,answer
0,4,"белый, бордовый, желтый","Конверт хороший, по мне так он маломерит, надеюсь малыш влезет, и ещё замечание производителю, нужно что-то с мехом сделать вдоль замка, А-то попадает в молнию и от этого плохо застегнуть и расстегнуть. Выкупила, так пришёл без брака, выглядит также красиво как на картинке",
10003209,5,белый,Аромат приятный. Упаковка 👍🏻. Спасибо!,"Добрый день! Спасибо за отзыв и доверие товарам Rossinka. Рекомендуем также попробовать наше увлажняющее жидкое мыло с экстрактом подорожника и разнообразным выбором натуральных ароматов арт. 43223648, 43237744, 43239027,  40658993, 40708735"
0,2,,"У меня раздражние появилось после них, жжение и кожа покраснела под патчами😬",
0,2,синий,"Купила за 19 рублей, проверить не могу, так как нет трансформатора который нужно отдельно покупать, а он стоит 18 рублей. В итоге не дёшево, увы.","Добрый день!

Мы выражаем Вам свою признательность за Ваш отзыв в отношении качества продукции и надеемся, что продукция компании Linkgroup не разочарует вас в дальнейшем.
Отзывы наших покупателей о продукции чрезвычайно важны для нашей компании, поскольку Linkgroup ведет постоянную работу по совершенствованию своей продукции и сервисной политики с учетом мнений наших клиентов.

С уважением, команда Linkgroup!"
0,2,"голубой, синий","Цвет намного бледнее, чем на фото. Очень разочаровал комплект(((( За такую сумму можно и получше найти, всем советую поискать! На наволочках облака, но это не так страшно. Просто очень бледные дельфины и рыбки, как будто десять раз постиранный((((",
0,3,хаки,"Заказывала на подарок ,но пока дома рассматривала товар кнопки отпали ((((( Подарок испорчен (((  Плед сам по себе хороший !Очень жаль качество кнопок плохое !","Здравствуйте! Нам искренне жаль, что Вы столкнулись с такой ситуацией. Процент брака есть у любого производителя и от него, к сожалению, не застрахован никто.  Подобное –  редкость. Мы проведем тщательную проверку контроля качества. "
10002460,4,коричневый,"Ткань приятная к телу, по мне 46 на 46 облегает фигуру, мне такое облегание ни к чему, поэтому взяла 48, чуть свободнее, зато прилично. И в пир и в мир. Цвет в размере 46 ярче чем в 48, жаль, но всё равно взяла.",
0,3,"черный, серебристый, белый","Очень красят носки. Хорошо, что купила со скидкой, а то совсем бы расстроилась.",
0,5,серый,"Толстовка утепленная, мягкая, приятная к телу, но под высокие штаны, коротковата. Смотрится отлично, молодежно.",
0,1,оранжевый,Доставка 3 недели брать больше не буду,"Здравствуйте! Нам очень важно, чтобы наши товары оставляли хорошие впечатления у наших покупателей. Сожалеем о произошедшей ситуации с доставкой товара. Приносим извинения за задержку. Сроки доставки не зависят от нас, мы не можем на них повлиять. Надеемся, другие покупки в нашем магазине принесут Вам только положительные эмоции."
0,3,баклажановый,"Через месяц водолазка скаталась,несмотря на правильный уход",
0,5,черный,Просто отличная! за такие деньги,"Здравствуйте!
Благодарим, что Вы выбрали бренд ЭРА и оставили теплый отзыв.
Ждём Вас снова за покупками!
С уважением, клиентский сервис."
10001475,3,черный,"Сапоги на полную ногу. Удобная колодка. Отлично подойдут на полные ноги, т.к. голенище широкое - 41 -42 см (плюс резинка). Качество кожи не понравилось, тонкая, морщинистая, дешевая. Каблук из легкого пластика, полый. Как долго продержится такой каблук на зимней обуви? Цена завышена. Жаль, что такое плохое качество, ведь так трудно найти классическую модель с широким голенищем.",
0,5,серый,Все соответствует,
0,1,черный,И снова вместо 13 размера приходит 14. Что за ерунда ?,"Проблему еще не устранили на складе, после нашего и вашего заявления. Сожалеем."
0,5,оранжевый,Отличный круг,"Здравствуйте, дорогой покупатель! Примите нашу благодарность за отличный отзыв и внимание к нашей работе. Мы рады, что у Вас осталось положительное впечатление от нашего товара! Будем рады видеть Вас снова! Чтобы просмотреть весь ассортимент нашего магазина, Вы можете перейти по ссылке: https://www.wildberries.ru/seller/16105 
С Уважением, официальный магазин производителя брендов ""Ресанта"", ""Вихрь"", ""Huter"", ""Eurolux"".
"
0,5,,Хорошая соль. Запах обалденный.  Будем ещё заказывать,Спасибо за положительный отзыв! Благодарим за Ваш выбор!
